Comment,Designator,Footprint,LCSC,Quantity
D_Small,D48,D_SOD-123,,1
D_Small,D47,D_SOD-123,,1
D_Small,D46,D_SOD-123,,1
D_Small,D45,D_SOD-123,,1
D_Small,D44,D_SOD-123,,1
D_Small,D43,D_SOD-123,,1
D_Small,D42,D_SOD-123,,1
D_Small,D41,D_SOD-123,,1
D_Small,D40,D_SOD-123,,1
SW_Push,SW1,SW_Tactile_Straight_KSA0Axx1LFTR,,1
MX_SW_HS,MX33,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX31,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX44,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX4,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX12,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX37,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX20,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX39,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX3,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX13,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D32,D_SOD-123,,1
D_Small,D31,D_SOD-123,,1
MX_SW_HS,MX2,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX7,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D36,D_SOD-123,,1
D_Small,D15,D_SOD-123,,1
MX_SW_HS,MX1,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX19,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D6,D_SOD-123,,1
D_Small,D5,D_SOD-123,,1
MX_SW_HS,MX40,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX36,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX46,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX16,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX41,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX17,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D9,D_SOD-123,,1
MX_SW_HS,MX9,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX25,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D39,D_SOD-123,,1
MX_SW_HS,MX10,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D19,D_SOD-123,,1
D_Small,D4,D_SOD-123,,1
MX_SW_HS,MX5,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX23,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D24,D_SOD-123,,1
D_Small,D12,D_SOD-123,,1
D_Small,D17,D_SOD-123,,1
D_Small,D8,D_SOD-123,,1
MX_SW_HS,MX24,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX27,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D13,D_SOD-123,,1
D_Small,D7,D_SOD-123,,1
D_Small,D30,D_SOD-123,,1
D_Small,D2,D_SOD-123,,1
D_Small,D1,D_SOD-123,,1
MX_SW_HS,MX47,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX30,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX14,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D35,D_SOD-123,,1
MX_SW_HS,MX11,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX22,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D38,D_SOD-123,,1
MX_SW_HS,MX15,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX43,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX35,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D16,D_SOD-123,,1
D_Small,D37,D_SOD-123,,1
D_Small,D34,D_SOD-123,,1
D_Small,D29,D_SOD-123,,1
D_Small,D20,D_SOD-123,,1
MX_SW_HS,MX29,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D23,D_SOD-123,,1
MX_SW_HS,MX34,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D21,D_SOD-123,,1
MX_SW_HS,MX8,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D18,D_SOD-123,,1
D_Small,D25,D_SOD-123,,1
D_Small,D26,D_SOD-123,,1
MX_SW_HS,MX26,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D27,D_SOD-123,,1
MX_SW_HS,MX48,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX6,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX28,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX38,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D3,D_SOD-123,,1
MX_SW_HS,MX18,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D33,D_SOD-123,,1
D_Small,D10,D_SOD-123,,1
D_Small,D22,D_SOD-123,,1
MX_SW_HS,MX45,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D28,D_SOD-123,,1
MX_SW_HS,MX32,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,MX21,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D11,D_SOD-123,,1
MX_SW_HS,MX42,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D14,D_SOD-123,,1
